Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Marcks	ENSMUST00000092584.5	myristoylated alanine rich protein kinase C substrate 	2557	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Atm	ENSMUST00000118282.2	ataxia telangiectasia mutated homolog (human) 	901	1	0	0	1	4	mmu-miR-338-5p	-0.01	-0.01	N/A
Mycbp	ENSMUST00000030400.8	c-myc binding protein 	1042	2	0	1	1	1	mmu-miR-338-5p	-0.01	-0.08	N/A
Narf	ENSMUST00000103015.3	nuclear prelamin A recognition factor 	1634	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Musk	ENSMUST00000102893.4	muscle, skeletal, receptor tyrosine kinase 	374	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Elavl2	ENSMUST00000107110.2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B) 	71	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Hic2	ENSMUST00000090190.6	hypermethylated in cancer 2 	70	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Spc25	ENSMUST00000112320.2	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae) 	115	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Kif13b	ENSMUST00000100473.4	kinesin family member 13B 	841	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Ankrd26	ENSMUST00000112830.2	ankyrin repeat domain 26 	158	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Avl9	ENSMUST00000031805.8	AVL9 homolog (S. cerevisiase) 	569	2	1	0	1	1	mmu-miR-338-5p	-0.01	-0.08	N/A
Malt1	ENSMUST00000049248.5	mucosa associated lymphoid tissue lymphoma translocation gene 1 	329	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Usp53	ENSMUST00000090379.2	ubiquitin specific peptidase 53 	533	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Scn5a	ENSMUST00000065196.7	sodium channel, voltage-gated, type V, alpha 	75	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Prkg2	ENSMUST00000031277.6	protein kinase, cGMP-dependent, type II 	896	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Rpgrip1l	ENSMUST00000047783.8	Rpgrip1-like 	70	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Adam23	ENSMUST00000087374.4	a disintegrin and metallopeptidase domain 23 	451	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Egr1	ENSMUST00000064795.5	early growth response 1 	69	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Phf12	ENSMUST00000049167.8	PHD finger protein 12 	598	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Myrfl	ENSMUST00000048229.7	myelin regulatory factor-like 	30	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Ercc3	ENSMUST00000025241.6	excision repair cross-complementing rodent repair deficiency, complementation group 3 	704	3	1	1	1	0	mmu-miR-338-5p	-0.01	-0.07	N/A
Tnfrsf11a	ENSMUST00000027559.7	tumor necrosis factor receptor superfamily, member 11a 	133	2	0	0	2	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Srsf1	ENSMUST00000079866.5	serine/arginine-rich splicing factor 1 	3442	2	1	1	0	2	mmu-miR-338-5p	-0.01	-0.05	N/A
Frmd4a	ENSMUST00000075767.8	FERM domain containing 4A 	256	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Myrip	ENSMUST00000048121.7	myosin VIIA and Rab interacting protein 	95	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Atxn3	ENSMUST00000021606.6	ataxin 3 	467	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Fndc3a	ENSMUST00000089017.6	fibronectin type III domain containing 3A 	1154	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Cd52	ENSMUST00000000696.6	CD52 antigen 	14	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.12	N/A
3110043O21Rik	ENSMUST00000084724.4	RIKEN cDNA 3110043O21 gene 	809	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Anks4b	ENSMUST00000033201.5	ankyrin repeat and sterile alpha motif domain containing 4B 	656	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Clec5a	ENSMUST00000101491.5	C-type lectin domain family 5, member a 	48	2	0	1	1	1	mmu-miR-338-5p	-0.01	-0.04	N/A
Slc16a12	ENSMUST00000009522.3	solute carrier family 16 (monocarboxylic acid transporters), member 12 	599	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.04	N/A
Slc35g1	ENSMUST00000054098.2	solute carrier family 35, member G1 	91	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Tsn	ENSMUST00000027623.8	translin 	587	2	0	2	0	0	mmu-miR-338-5p	-0.01	-0.04	N/A
Slc7a11	ENSMUST00000029297.4	solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 	57	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Dstyk	ENSMUST00000045110.8	dual serine/threonine and tyrosine protein kinase 	355	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Kctd12	ENSMUST00000184744.1	potassium channel tetramerisation domain containing 12 	904	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
BC035044	ENSMUST00000160290.2	cDNA sequence BC035044 	33	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Hipk1	ENSMUST00000118317.2	homeodomain interacting protein kinase 1 	2362	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Atp7a	ENSMUST00000055941.6	ATPase, Cu++ transporting, alpha polypeptide 	88	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Pfkfb2	ENSMUST00000066863.7	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 	152	2	0	0	2	3	mmu-miR-338-5p	-0.01	-0.02	N/A
Uchl5	ENSMUST00000018333.7	ubiquitin carboxyl-terminal esterase L5 	800	2	1	0	1	0	mmu-miR-338-5p	-0.01	-0.29	N/A
Lrrc58	ENSMUST00000078717.6	leucine rich repeat containing 58 	92	2	0	0	2	3	mmu-miR-338-5p	-0.01	-0.08	N/A
Ccnj	ENSMUST00000025983.7	cyclin J 	116	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Xpot	ENSMUST00000039810.7	exportin, tRNA (nuclear export receptor for tRNAs) 	84	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Snx27	ENSMUST00000029783.10	sorting nexin family member 27 	332	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Btbd3	ENSMUST00000091556.6	BTB (POZ) domain containing 3 	72	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Ildr1	ENSMUST00000119464.1	immunoglobulin-like domain containing receptor 1 	67	2	1	1	0	1	mmu-miR-338-5p	-0.01	-0.05	N/A
Il7r	ENSMUST00000003981.4	interleukin 7 receptor 	34	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Inpp4b	ENSMUST00000172031.2	inositol polyphosphate-4-phosphatase, type II 	281	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Slc16a10	ENSMUST00000092566.6	solute carrier family 16 (monocarboxylic acid transporters), member 10 	332	1	1	0	0	2	mmu-miR-338-5p	-0.01	-0.03	N/A
Zscan21	ENSMUST00000110961.3	zinc finger and SCAN domain containing 21 	1269	1	0	1	0	2	mmu-miR-338-5p	-0.01	-0.07	N/A
Stard13	ENSMUST00000110483.3	StAR-related lipid transfer (START) domain containing 13 	195	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Samd4	ENSMUST00000100672.4	sterile alpha motif domain containing 4 	1813	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Farp1	ENSMUST00000026635.7	FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived) 	875	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Lrch2	ENSMUST00000112819.3	leucine-rich repeats and calponin homology (CH) domain containing 2 	40	1	0	1	0	3	mmu-miR-338-5p	-0.01	-0.03	N/A
Fzd4	ENSMUST00000058755.3	frizzled homolog 4 (Drosophila) 	1499	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Rpl24	ENSMUST00000023269.4	ribosomal protein L24 	6	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.06	N/A
Pcdhb9	ENSMUST00000057228.1	protocadherin beta 9 	27	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.12	N/A
Atxn1	ENSMUST00000180110.2	ataxin 1 	414	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Snx29	ENSMUST00000180792.2	sorting nexin 29 	158	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Synj1	ENSMUST00000170853.2	synaptojanin 1 	641	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Adrbk2	ENSMUST00000065167.4	adrenergic receptor kinase, beta 2 	383	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Neu3	ENSMUST00000036331.6	neuraminidase 3 	39	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Cyp2j9	ENSMUST00000055693.8	cytochrome P450, family 2, subfamily j, polypeptide 9 	87	4	0	2	2	6	mmu-miR-338-5p	-0.01	-0.06	N/A
Socs6	ENSMUST00000070116.6	suppressor of cytokine signaling 6 	865	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Cd226	ENSMUST00000037142.6	CD226 antigen 	44	1	0	0	1	4	mmu-miR-338-5p	-0.01	-0.01	N/A
Zfp366	ENSMUST00000056558.8	zinc finger protein 366 	51	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Tbx5	ENSMUST00000018407.6	T-box 5 	35	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Ubr1	ENSMUST00000028728.5	ubiquitin protein ligase E3 component n-recognin 1 	244	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Atf1	ENSMUST00000023769.5	activating transcription factor 1 	446	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.04	N/A
Fads6	ENSMUST00000056153.7	fatty acid desaturase domain family, member 6 	163	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Hspa13	ENSMUST00000114244.1	heat shock protein 70 family, member 13 	311	2	0	2	0	0	mmu-miR-338-5p	-0.01	-0.08	N/A
Grik4	ENSMUST00000114865.2	glutamate receptor, ionotropic, kainate 4 	6	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Ogt	ENSMUST00000044475.4	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase) 	4379	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Pramel1	ENSMUST00000037419.3	preferentially expressed antigen in melanoma-like 1 	38	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Alg12	ENSMUST00000162183.2	asparagine-linked glycosylation 12 (alpha-1,6-mannosyltransferase) 	30	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.14	N/A
Gramd2	ENSMUST00000128944.2	GRAM domain containing 2 	136	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Tmtc1	ENSMUST00000060095.9	transmembrane and tetratricopeptide repeat containing 1 	433	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Zfp661	ENSMUST00000110366.2	zinc finger protein 661 	28	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Wnt8a	ENSMUST00000012426.2	wingless-related MMTV integration site 8A 	29	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Gas2l3	ENSMUST00000099374.3	growth arrest-specific 2 like 3 	205	2	0	1	1	0	mmu-miR-338-5p	-0.01	-0.07	N/A
Mrgprb1	ENSMUST00000094384.3	MAS-related GPR, member B1 	18	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Ptprn2	ENSMUST00000070733.8	protein tyrosine phosphatase, receptor type, N polypeptide 2 	57	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Map3k19	ENSMUST00000187653.1	mitogen-activated protein kinase kinase kinase 19 	36	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Lekr1	ENSMUST00000099075.3	leucine, glutamate and lysine rich 1 	113	2	0	1	1	0	mmu-miR-338-5p	-0.01	-0.21	N/A
Ndufaf4	ENSMUST00000029925.4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4 	688	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Fbxl17	ENSMUST00000024761.7	F-box and leucine-rich repeat protein 17 	1433	4	0	0	4	2	mmu-miR-338-5p	-0.01	-0.04	N/A
Pgap1	ENSMUST00000097739.4	post-GPI attachment to proteins 1 	503	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
2610008E11Rik	ENSMUST00000039271.6	RIKEN cDNA 2610008E11 gene 	147	2	0	1	1	0	mmu-miR-338-5p	-0.01	-0.03	N/A
Zfp148	ENSMUST00000165418.2	zinc finger protein 148 	580	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Gli3	ENSMUST00000110510.3	GLI-Kruppel family member GLI3 	73	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Bdp1	ENSMUST00000038104.6	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB 	329	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Ube2b	ENSMUST00000020657.7	ubiquitin-conjugating enzyme E2B 	11814	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.10	N/A
Myct1	ENSMUST00000051809.8	myc target 1 	499	1	1	0	0	0	mmu-miR-338-5p	-0.01	-0.28	N/A
Slco3a1	ENSMUST00000026897.8	solute carrier organic anion transporter family, member 3a1 	258	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Ammecr1l	ENSMUST00000115808.2	AMME chromosomal region gene 1-like 	2444	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Lpar3	ENSMUST00000039164.2	lysophosphatidic acid receptor 3 	71	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.06	N/A
Olfr550	ENSMUST00000098225.2	olfactory receptor 550 	13	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Klb	ENSMUST00000031096.7	klotho beta 	229	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Otud3	ENSMUST00000097830.3	OTU domain containing 3 	934	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
H2bfm	ENSMUST00000059808.4	H2B histone family, member M 	9	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Cdc14a	ENSMUST00000090464.5	CDC14 cell division cycle 14A 	36	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Col4a4	ENSMUST00000087050.6	collagen, type IV, alpha 4 	472	1	1	0	0	2	mmu-miR-338-5p	-0.01	-0.03	N/A
Snx12	ENSMUST00000077876.3	sorting nexin 12 	220	2	0	2	0	5	mmu-miR-338-5p	-0.01	-0.04	N/A
Dph5	ENSMUST00000043342.9	DPH5 homolog (S. cerevisiae) 	208	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.17	N/A
Zmat2	ENSMUST00000001419.8	zinc finger, matrin type 2 	4295	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.04	N/A
Golt1b	ENSMUST00000032372.6	golgi transport 1 homolog B (S. cerevisiae) 	2567	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Pik3cg	ENSMUST00000053215.8	phosphoinositide-3-kinase, catalytic, gamma polypeptide 	70	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Rpp14	ENSMUST00000180369.1	ribonuclease P 14 subunit 	582	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.17	N/A
Traf3ip1	ENSMUST00000047242.8	TRAF3 interacting protein 1 	419	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Slc7a5	ENSMUST00000045557.9	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 	92	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Ptpn2	ENSMUST00000122412.1	protein tyrosine phosphatase, non-receptor type 2 	1200	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Aff1	ENSMUST00000054979.4	AF4/FMR2 family, member 1 	201	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Cdan1	ENSMUST00000110701.2	congenital dyserythropoietic anemia, type I (human) 	155	2	0	0	2	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Slc4a8	ENSMUST00000023776.7	solute carrier family 4 (anion exchanger), member 8 	103	1	1	0	0	0	mmu-miR-338-5p	-0.01	-0.03	N/A
Rgs7bp	ENSMUST00000063551.5	regulator of G-protein signalling 7 binding protein 	26	1	0	1	0	2	mmu-miR-338-5p	-0.01	-0.02	N/A
Galnt13	ENSMUST00000112636.2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 	109	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Pcdhb1	ENSMUST00000052366.3	protocadherin beta 1 	3	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Gm4861	ENSMUST00000068546.5	predicted gene 4861 	19	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Mtap7d3	ENSMUST00000114766.2	MAP7 domain containing 3 	19	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Pde8b	ENSMUST00000162412.2	phosphodiesterase 8B 	287	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Cdc42bpa	ENSMUST00000111117.2	CDC42 binding protein kinase alpha 	1168	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Angptl2	ENSMUST00000004208.5	angiopoietin-like 2 	1314	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
1700048O20Rik	ENSMUST00000063103.4	RIKEN cDNA 1700048O20 gene 	27	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.04	N/A
Pafah1b2	ENSMUST00000172450.1	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2 	1528	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Rasa1	ENSMUST00000109552.2	RAS p21 protein activator 1 	2160	1	1	0	0	2	mmu-miR-338-5p	-0.01	-0.16	N/A
B3gat2	ENSMUST00000063663.5	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) 	297	2	0	1	1	0	mmu-miR-338-5p	-0.01	-0.13	N/A
Tmem170	ENSMUST00000034431.1	transmembrane protein 170 	83	1	1	0	0	1	mmu-miR-338-5p	-0.01	-0.03	N/A
Bcl3	ENSMUST00000120537.2	B cell leukemia/lymphoma 3 	50	1	1	0	0	0	mmu-miR-338-5p	-0.01	-0.15	N/A
Acpp	ENSMUST00000062723.7	acid phosphatase, prostate 	36	1	0	1	0	2	mmu-miR-338-5p	-0.01	-0.02	N/A
Col19a1	ENSMUST00000115244.3	collagen, type XIX, alpha 1 	25	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.01	N/A
Bmp3	ENSMUST00000031278.4	bone morphogenetic protein 3 	134	2	0	2	0	0	mmu-miR-338-5p	-0.01	-0.04	N/A
Trmt5	ENSMUST00000116420.2	TRM5 tRNA methyltransferase 5 	3665	1	1	0	0	0	mmu-miR-338-5p	-0.01	-0.17	N/A
Dnajc10	ENSMUST00000028392.7	DnaJ (Hsp40) homolog, subfamily C, member 10 	988	1	0	1	0	2	mmu-miR-338-5p	-0.01	-0.04	N/A
Iws1	ENSMUST00000025243.3	IWS1 homolog (S. cerevisiae) 	1334	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Gramd1b	ENSMUST00000121357.2	GRAM domain containing 1B 	86	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Frem2	ENSMUST00000091137.4	Fras1 related extracellular matrix protein 2 	25	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Gm10032	ENSMUST00000071522.2	predicted gene 10032 	23	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Naa15	ENSMUST00000029303.7	N(alpha)-acetyltransferase 15, NatA auxiliary subunit 	2921	1	1	0	0	0	mmu-miR-338-5p	-0.01	-0.03	N/A
Homer2	ENSMUST00000026922.8	homer homolog 2 (Drosophila) 	285	1	0	1	0	3	mmu-miR-338-5p	-0.01	-0.02	N/A
Tti1	ENSMUST00000029179.5	TELO2 interacting protein 1 	76	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.10	N/A
Cxxc4	ENSMUST00000181904.1	CXXC finger 4 	23	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Pde1c	ENSMUST00000166890.2	phosphodiesterase 1C 	153	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Col4a3bp	ENSMUST00000077672.5	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein 	198	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.03	N/A
Dcp2	ENSMUST00000025350.8	DCP2 decapping enzyme homolog (S. cerevisiae) 	434	2	0	1	1	3	mmu-miR-338-5p	-0.01	-0.03	N/A
Zfp58	ENSMUST00000171518.2	zinc finger protein 58 	85	1	1	0	0	0	mmu-miR-338-5p	-0.01	-0.03	N/A
Magi1	ENSMUST00000089317.6	membrane associated guanylate kinase, WW and PDZ domain containing 1 	352	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Pcdhb3	ENSMUST00000051754.1	protocadherin beta 3 	13	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Dcun1d3	ENSMUST00000059851.7	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae) 	469	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Tmem181a	ENSMUST00000088940.4	transmembrane protein 181A 	21	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Slc37a2	ENSMUST00000115068.3	solute carrier family 37 (glycerol-3-phosphate transporter), member 2 	116	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Gpcpd1	ENSMUST00000110136.2	glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae) 	908	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.04	N/A
Rsf1	ENSMUST00000042399.8	remodeling and spacing factor 1 	388	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Rnf38	ENSMUST00000098098.3	ring finger protein 38 	90	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Ikzf3	ENSMUST00000103141.3	IKAROS family zinc finger 3 	35	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Lman2	ENSMUST00000021940.7	lectin, mannose-binding 2 	6414	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Rimbp2	ENSMUST00000111346.1	RIMS binding protein 2 	13	1	1	0	0	2	mmu-miR-338-5p	-0.01	-0.03	N/A
Rab3il1	ENSMUST00000121418.2	RAB3A interacting protein (rabin3)-like 1 	267	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.02	N/A
Snap91	ENSMUST00000074501.6	synaptosomal-associated protein 91 	20	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Ago3	ENSMUST00000069097.7	argonaute RISC catalytic subunit 3 	292	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Chmp3	ENSMUST00000059462.6	charged multivesicular body protein 3 	983	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Zfp109	ENSMUST00000037448.6	zinc finger protein 109 	61	2	0	0	2	2	mmu-miR-338-5p	-0.01	-0.02	N/A
Mettl16	ENSMUST00000141755.2	methyltransferase like 16 	464	1	1	0	0	0	mmu-miR-338-5p	-0.01	-0.03	N/A
Cyp2j6	ENSMUST00000030303.5	cytochrome P450, family 2, subfamily j, polypeptide 6 	642	1	1	0	0	1	mmu-miR-338-5p	-0.01	-0.13	N/A
Zbtb41	ENSMUST00000039867.7	zinc finger and BTB domain containing 41 homolog 	806	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
AI429214	ENSMUST00000098825.3	expressed sequence AI429214 	84	3	1	1	1	1	mmu-miR-338-5p	-0.01	-0.20	N/A
Slfn3	ENSMUST00000019130.7	schlafen 3 	43	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Tmem132d	ENSMUST00000044441.6	transmembrane protein 132D 	19	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Gabpb2	ENSMUST00000107209.2	GA repeat binding protein, beta 2 	107	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.01	N/A
Pde7a	ENSMUST00000099195.4	phosphodiesterase 7A 	1238	1	0	1	0	1	mmu-miR-338-5p	-0.01	-0.02	N/A
Bmp8a	ENSMUST00000102641.4	bone morphogenetic protein 8a 	19	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Pros1	ENSMUST00000023629.8	protein S (alpha) 	83	1	0	0	1	1	mmu-miR-338-5p	-0.01	-0.06	N/A
Dhodh	ENSMUST00000143900.2	dihydroorotate dehydrogenase 	444	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.12	N/A
Serpinb10	ENSMUST00000182198.2	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 10 	15	1	1	0	0	1	mmu-miR-338-5p	-0.01	-0.21	N/A
Flywch2	ENSMUST00000024704.4	FLYWCH family member 2 	29	1	0	1	0	2	mmu-miR-338-5p	-0.01	-0.12	N/A
Ube2k	ENSMUST00000142407.2	ubiquitin-conjugating enzyme E2K 	1794	1	1	0	0	3	mmu-miR-338-5p	-0.01	-0.07	N/A
Evi5	ENSMUST00000112642.2	ecotropic viral integration site 5 	392	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Cenpu	ENSMUST00000034045.8	centromere protein U 	116	1	1	0	0	1	mmu-miR-338-5p	-0.01	-0.08	N/A
Rab11fip2	ENSMUST00000171986.2	RAB11 family interacting protein 2 (class I) 	452	1	0	0	1	2	mmu-miR-338-5p	-0.01	-0.08	N/A
Cit	ENSMUST00000051704.9	citron 	7	1	0	0	1	0	mmu-miR-338-5p	-0.01	-0.01	N/A
Zrsr1	ENSMUST00000049506.6	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 1 	945	1	0	1	0	0	mmu-miR-338-5p	-0.01	-0.11	N/A
Igf1	ENSMUST00000105300.3	insulin-like growth factor 1 	5701	1	0	1	0	2	mmu-miR-338-5p	-0.01	-0.02	N/A
